"PlotID","Stand","TreeID","Species","Dbh","Ht","Vol","Product"
1,"pine-hardwoods","1.1","red maple",26,54,724.3,"HW Sawtimber"
1,"pine-hardwoods","1.2","eastern white pine",29,66,804.2,"SW Sawtimber"
1,"pine-hardwoods","1.3","red maple",9,NA,NA,"Non-merchantable"
1,"pine-hardwoods","1.4","white oak",34,44,884,"HW Sawtimber"
1,"pine-hardwoods","1.5","eastern white pine",14,53,142.6,"SW Sawtimber"
1,"pine-hardwoods","1.6","eastern white pine",24,73,563.6,"SW Sawtimber"
1,"pine-hardwoods","1.7","eastern white pine",25,83,658.6,"SW Sawtimber"
1,"pine-hardwoods","1.8","white oak",27,78,771.5,"HW Sawtimber"
2,"pine-hardwoods","2.1","eastern white pine",19,32,215.2,"SW Sawtimber"
2,"pine-hardwoods","2.2","eastern white pine",18,48,239.4,"SW Sawtimber"
2,"pine-hardwoods","2.3","eastern white pine",14,24,90.3,"SW Sawtimber"
2,"pine-hardwoods","2.4","eastern white pine",9,NA,NA,"Non-merchantable"
2,"pine-hardwoods","2.5","northern red oak",19,24,177.4,"HW Sawtimber"
2,"pine-hardwoods","2.6","eastern white pine",8,NA,NA,"Non-merchantable"
2,"pine-hardwoods","2.7","eastern white pine",19,40,244.2,"SW Sawtimber"
3,"hemlock-hardwoods","3.1","red maple",15,24,119.3,"HW Sawtimber"
3,"hemlock-hardwoods","3.2","sassafras",14,NA,NA,"Non-merchantable"
3,"hemlock-hardwoods","3.3","eastern hemlock",27,40,474,"SW Sawtimber"
3,"hemlock-hardwoods","3.4","eastern hemlock",21,36,259.6,"SW Sawtimber"
3,"hemlock-hardwoods","3.5","red maple",14,24,102.4,"HW Sawtimber"
3,"hemlock-hardwoods","3.6","northern red oak",18,28,175,"HW Sawtimber"
4,"hemlock-hardwoods","4.1","white oak",20,40,248.1,"HW Sawtimber"
4,"hemlock-hardwoods","4.2","white oak",19,NA,NA,"Snag"
4,"hemlock-hardwoods","4.3","eastern white pine",31,75,993.3,"SW Sawtimber"
4,"hemlock-hardwoods","4.4","northern red oak",26,NA,NA,"Snag"
4,"hemlock-hardwoods","4.5","black oak",20,35,259.4,"HW Sawtimber"
4,"hemlock-hardwoods","4.6","black oak",22,38,341.2,"HW Sawtimber"
4,"hemlock-hardwoods","4.7","white oak",29,37,548.1,"HW Sawtimber"
4,"hemlock-hardwoods","4.8","sweet birch",19,55,355.7,"HW Sawtimber"
5,"pine-hardwoods","5.1","northern red oak",73,60,6612.3,"HW Sawtimber"
5,"pine-hardwoods","5.2","eastern white pine",20,58,334.9,"SW Sawtimber"
5,"pine-hardwoods","5.3","sugar maple",37,54,1599.5,"HW Sawtimber"
6,"pine-hardwoods","6.1","eastern white pine",19,65,317.5,"SW Sawtimber"
6,"pine-hardwoods","6.2","black oak",9,NA,NA,"Non-merchantable"
6,"pine-hardwoods","6.3","eastern white pine",27,75,738,"SW Sawtimber"
6,"pine-hardwoods","6.4","black oak",9,NA,NA,"Non-merchantable"
6,"pine-hardwoods","6.5","eastern hemlock",16,44,157.7,"SW Sawtimber"
6,"pine-hardwoods","6.6","black oak",8,NA,NA,"Non-merchantable"
6,"pine-hardwoods","6.7","black oak",13,56,130.5,"HW Sawtimber"
6,"pine-hardwoods","6.8","black oak",12,40,87.3,"HW Sawtimber"
6,"pine-hardwoods","6.9","black oak",15,44,155.9,"HW Sawtimber"
6,"pine-hardwoods","6.10","eastern white pine",27,88,802.2,"SW Sawtimber"
7,"pine-hardwoods","7.1","eastern white pine",22,44,355.3,"SW Sawtimber"
7,"pine-hardwoods","7.2","eastern white pine",19,44,257.4,"SW Sawtimber"
7,"pine-hardwoods","7.3","American beech",17,32,226.9,"Firewood"
7,"pine-hardwoods","7.4","black oak",15,28,115.5,"HW Sawtimber"
7,"pine-hardwoods","7.5","black oak",10,12,26.2,"Firewood"
7,"pine-hardwoods","7.6","black oak",17,28,153.6,"HW Sawtimber"
7,"pine-hardwoods","7.7","red maple",25,36,496.3,"HW Sawtimber"
8,"pine-hardwoods","8.1","northern red oak",20,40,284.3,"HW Sawtimber"
8,"pine-hardwoods","8.2","sweet birch",7,NA,NA,"Non-merchantable"
8,"pine-hardwoods","8.3","white oak",18,32,168.5,"HW Sawtimber"
8,"pine-hardwoods","8.4","sweet birch",11,32,75.4,"Firewood"
8,"pine-hardwoods","8.5","American beech",7,NA,NA,"Non-merchantable"
9,"hemlock-hardwoods","9.1","eastern white pine",14,36,114.9,"SW Sawtimber"
9,"hemlock-hardwoods","9.2","eastern hemlock",9,NA,NA,"Non-merchantable"
9,"hemlock-hardwoods","9.3","red maple",17,48,252.7,"HW Sawtimber"
9,"hemlock-hardwoods","9.4","eastern white pine",12,36,79.3,"SW Sawtimber"
9,"hemlock-hardwoods","9.5","black oak",8,NA,NA,"Non-merchantable"
9,"hemlock-hardwoods","9.6","northern red oak",22,28,275.1,"HW Sawtimber"
9,"hemlock-hardwoods","9.7","eastern white pine",11,20,43.8,"SW Sawtimber"
10,"hemlock-hardwoods","10.1","black oak",17,36,182.3,"HW Sawtimber"
10,"hemlock-hardwoods","10.2","black oak",25,20,283.8,"HW Sawtimber"
10,"hemlock-hardwoods","10.3","black oak",21,48,360,"HW Sawtimber"
10,"hemlock-hardwoods","10.4","black oak",13,28,83.2,"Firewood"
10,"hemlock-hardwoods","10.5","black oak",13,28,83.2,"HW Sawtimber"
10,"hemlock-hardwoods","10.6","eastern white pine",28,72,781.2,"SW Sawtimber"
10,"hemlock-hardwoods","10.7","eastern white pine",34,NA,NA,"Non-merchantable"
10,"hemlock-hardwoods","10.8","red maple",9,NA,NA,"Non-merchantable"
11,"hemlock-hardwoods","11.1","white oak",16,32,128.8,"HW Sawtimber"
11,"hemlock-hardwoods","11.2","red maple",21,52,433.2,"HW Sawtimber"
11,"hemlock-hardwoods","11.3","eastern hemlock",16,28,123.3,"SW Sawtimber"
11,"hemlock-hardwoods","11.4","sugar maple",9,NA,NA,"Non-merchantable"
12,"hemlock-hardwoods","12.1","pignut hickory",11,32,69.7,"Firewood"
12,"hemlock-hardwoods","12.2","pignut hickory",13,20,73.9,"HW Sawtimber"
12,"hemlock-hardwoods","12.3","eastern hemlock",21,36,259.6,"SW Sawtimber"
12,"hemlock-hardwoods","12.4","sweet birch",13,20,75.3,"HW Sawtimber"
12,"hemlock-hardwoods","12.5","eastern hemlock",13,20,62.6,"SW Sawtimber"
12,"hemlock-hardwoods","12.6","eastern hemlock",11,NA,NA,"Non-merchantable"
12,"hemlock-hardwoods","12.7","black oak",17,36,182.3,"HW Sawtimber"
13,"hemlock-hardwoods","13.1","eastern white pine",17,64,245.7,"SW Sawtimber"
13,"hemlock-hardwoods","13.2","sweet birch",8,NA,NA,"Non-merchantable"
13,"hemlock-hardwoods","13.3","sweet birch",11,28,68.7,"Firewood"
13,"hemlock-hardwoods","13.4","sweet birch",13,24,85.7,"HW Sawtimber"
