"PlotID","Subplot","Stand","Species","n_seed","n_sap"
1,"A","pine-hardwoods","American beech",0,0
2,"A","pine-hardwoods","American beech",0,0
3,"A","hemlock-hardwoods","American beech",0,0
4,"A","hemlock-hardwoods","American beech",0,0
5,"A","pine-hardwoods","American beech",0,0
6,"A","pine-hardwoods","American beech",0,0
7,"A","pine-hardwoods","American beech",0,0
8,"A","pine-hardwoods","American beech",0,0
9,"A","hemlock-hardwoods","American beech",0,0
10,"A","hemlock-hardwoods","American beech",0,0
11,"A","hemlock-hardwoods","American beech",0,0
12,"A","hemlock-hardwoods","American beech",0,0
13,"A","hemlock-hardwoods","American beech",0,0
14,"A","hemlock-hardwoods","American beech",0,0
15,"A","hemlock-hardwoods","American beech",0,0
16,"A","hemlock-hardwoods","American beech",0,0
17,"A","hemlock-hardwoods","American beech",0,0
18,"A","hemlock-hardwoods","American beech",0,0
19,"A","hemlock-hardwoods","American beech",0,0
20,"A","hemlock-hardwoods","American beech",1,2
21,"A","hemlock-hardwoods","American beech",0,0
22,"A","hemlock-hardwoods","American beech",0,0
23,"A","hemlock-hardwoods","American beech",0,0
24,"A","hemlock-hardwoods","American beech",0,0
25,"A","hemlock-hardwoods","American beech",0,0
26,"A","hemlock-hardwoods","American beech",0,0
27,"A","hemlock-hardwoods","American beech",0,0
28,"A","hemlock-hardwoods","American beech",0,0
29,"A","hemlock-hardwoods","American beech",0,0
30,"A","hemlock-hardwoods","American beech",0,0
31,"A","hemlock-hardwoods","American beech",0,0
32,"A","pine-hardwoods","American beech",0,0
33,"A","pine-hardwoods","American beech",0,0
34,"A","hemlock-hardwoods","American beech",0,0
35,"A","hemlock-hardwoods","American beech",0,0
36,"A","hemlock-hardwoods","American beech",0,0
37,"A","hemlock-hardwoods","American beech",0,0
38,"A","hemlock-hardwoods","American beech",0,0
39,"A","hemlock-hardwoods","American beech",0,0
40,"A","hemlock-hardwoods","American beech",0,0
41,"A","hemlock-hardwoods","American beech",0,0
42,"A","hemlock-hardwoods","American beech",0,0
43,"A","hemlock-hardwoods","American beech",0,0
